PHONEME DATA:
Sil	0	0.688
N	0.688	0.896
M	0.896	1.008
Ax	1.008	1.056
Sil	1.056	1.12
W	1.12	1.536
Sil	1.536	1.68
Ax	1.68	1.744
Y	1.744	2.048
Uw	2.048	2.208
N	2.208	2.432
Sil	2.432	2.496
B	2.496	2.624
D	2.624	2.672
Sil	2.672	3.232
L	3.232	3.408
Sil	3.408	3.472
W	3.472	3.536
Sil	3.536	4.736
Hh	4.736	4.864
N	4.864	5.024
Sil	5.024	5.152
Y	5.152	5.2
Uw	5.2	5.392
Sil	5.392	6.576
V	6.576	6.752
M	6.752	6.832
Sil	6.832	7.664
Iy	7.664	7.84
Sil	7.84	7.984
Iy	7.984	8.144
Uw	8.144	8.336
Sil	8.336	8.48
T	8.48	8.544
N	8.544	8.656
Sil	8.656	9.248
L	9.248	9.328
Z	9.328	9.392
Sil	9.392	9.616
Iy	9.616	9.68
Ax	9.68	9.744
N	9.744	9.84
Uw	9.84	9.968
Sil	9.968	10.24
N	10.24	10.448
D	10.448	10.528
Sil	10.528	11.056
N	11.056	11.104
Sil	11.104	12.48
Hh	12.48	12.656
Ax	12.656	12.784
Sil	12.784	13.056
M	13.056	13.184
N	13.184	13.424
D	13.424	13.568
Sil	13.568	14.368
N	14.368	14.512
Sil	14.512	15.472
M	15.472	15.648
N	15.648	15.728
Z	15.728	15.792
Ax	15.792	15.856
Sil	15.856	15.952
Iy	15.952	16.32
Sil	16.32	16.56
N	16.56	16.656
Uw	16.656	16.768
N	16.768	17.088
Uw	17.088	17.456
Sil	17.456	17.792
D	17.792	18.016
Sil	18.016	18.112
B	18.112	18.176
D	18.176	18.4
Ax	18.4	18.48
V	18.48	18.624
Sil	18.624	20.368
D	20.368	20.416
Z	20.416	20.512
D	20.512	20.784
Sil	20.784	21.328
Ax	21.328	21.344
Hh	21.344	21.536
Ax	21.536	21.584
Sil	21.584	22.016
Iy	22.016	22.144
Sil	22.144	22.416
Iy	22.416	22.528
N	22.528	22.576
Ay	22.576	22.72
Sil	22.72	22.816
N	22.816	22.96
Sil	22.96	23.552
Ax	23.552	23.632
Sil	23.632	23.696
Iy	23.696	23.84
Sil	23.84	23.92
Iy	23.92	24.016
Sil	24.016	24.256
M	24.256	24.288
Hh	24.288	24.4
N	24.4	24.752
Sil	24.752	25.424
N	25.424	25.52
Sil	25.52	27.04
M	27.04	27.184
Ax	27.184	27.232
N	27.232	27.728
Dh	27.728	27.808
Iy	27.808	27.888
